window,model,pinball,PICP90,PICP50,width90,width50,winkler90,winkler50,VaR_breach_rate,kupiec_LR,kupiec_p,cc_lr_uc,cc_p_uc,cc_lr_ind,cc_p_ind,cc_lr_cc,cc_p_cc
20d,HMM-LSTM,0.16806677111718055,0.8400876232201533,0.42278203723986857,1.8684510994414019,0.7221557518507414,2.97098950593819,1.7001282680975156,0.07338444687842278,9.244228245677036,0.0023623883733534523,9.244228245677036,0.0023623883733534523,201.14327751811314,0.0,210.38750576379016,0.0
20d,HQ,0.22946003253175012,0.8740416210295728,0.3888280394304491,2.8016288972974204,0.9088833221662753,3.8724360004295755,2.3630569904964323,0.06462212486308871,3.7775344986472064,0.05194514831729469,3.7775344986472064,0.05194514831729469,190.09158563142734,0.0,193.86912013007455,0.0
20d,GARCH-t,0.37246433770473464,0.0032858707557502738,0.001095290251916758,0.026896481824760846,0.010989386112191607,14.775471556102314,2.992470378285184,0.39211391018619934,979.0363711898699,0.0,979.0363711898699,0.0,736.1015410859701,0.0,1715.1379122758399,0.0
20d,DM: HMM-LSTM vs HQ,,,,,,,,,5.918092799373432,1.6284810167022101e-09,,,,,,
20d,DM: HMM-LSTM vs GARCH-t,,,,,,,,,12.176449138707671,0.0,,,,,,
60d,HMM-LSTM,0.1767912031836515,0.8039003250270856,0.39328277356446373,1.7590765505627304,0.6701490612864246,3.2114582629560067,1.8008510325785363,0.08342361863488625,18.232248757982283,1.9553981343345406e-05,18.232248757982283,1.9553981343345406e-05,284.9926903525711,0.0,303.2249391105534,0.0
60d,HQ,0.22007100859903922,0.905742145178765,0.39219934994582883,2.9073168814317603,0.884176747142534,3.6306227178244526,2.2878482410591463,0.03683640303358613,3.6911055480923665,0.05470334613816441,3.6911055480923665,0.05470334613816441,187.52919640963756,0.0,191.22030195772993,0.0
60d,GARCH-t,0.35302162021495576,0.0065005417118093175,0.0032502708559046588,0.024193955257289918,0.009889474920559846,14.010491050656324,2.8356102866345463,0.40303358613217766,1040.7352423127177,0.0,1040.7352423127177,0.0,873.7701903438133,0.0,1914.505432656531,0.0
60d,DM: HMM-LSTM vs HQ,,,,,,,,,3.8047528746702612,7.097291738489275e-05,,,,,,
60d,DM: HMM-LSTM vs GARCH-t,,,,,,,,,10.105664170419104,0.0,,,,,,
120d,HMM-LSTM,0.19227186621256834,0.594855305466238,0.2904608788853162,1.3354691426694534,0.5178995499222937,4.000199073991426,1.9115424772079246,0.1682743837084673,174.70891620801237,0.0,174.70891620801237,0.0,636.5746700517009,0.0,811.2835862597133,0.0
120d,HQ,0.19929938046323292,0.8938906752411575,0.42979635584137194,2.5955429866496127,0.8905732596164833,3.3870134699990784,2.0400166330557057,0.0782422293676313,13.468061417783154,0.00024265889945207508,13.468061417783154,0.00024265889945207508,344.7030714224729,0.0,358.171132840256,0.0
120d,GARCH-t,0.31954860181397515,0.0053590568060021436,0.0021436227224008574,0.021144409640099317,0.00866072568762291,12.685302329113794,2.5663954666004307,0.41586280814576637,1113.7304901097796,0.0,1113.7304901097796,0.0,912.5388160148971,0.0,2026.2693061246766,0.0
120d,DM: HMM-LSTM vs HQ,,,,,,,,,0.45490223405427244,0.3245897878027558,,,,,,
120d,DM: HMM-LSTM vs GARCH-t,,,,,,,,,6.086083194335193,5.785316670170459e-10,,,,,,
